Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-04-03 00:00:00-04:00,377.73879965918246,379.5975545968258,374.90235405451796,376.45112864176434,2196026.0,0.0,0.0
2017-04-04 00:00:00-04:00,375.86299568138287,376.9987356595628,374.3174807547671,376.1248582204183,1875208.5,0.0,0.0
2017-04-05 00:00:00-04:00,376.2274663557466,376.86239091471606,371.6911313886924,372.40876992543537,2514983.6666666665,0.0,0.0
2017-04-06 00:00:00-04:00,372.36687219891587,375.70192976725184,368.91914857201573,371.60155932108563,2443349.5,0.0,0.0
2017-04-07 00:00:00-04:00,369.6423931813334,371.8069703074336,367.73116296235145,368.5062754948934,2433638.3333333335,0.0,0.0
2017-04-10 00:00:00-04:00,368.03352210948225,373.5702707512682,367.9580969247948,368.7993351618449,1898196.6666666667,0.0,0.0
2017-04-11 00:00:00-04:00,368.7829358554448,378.05906878195145,365.1593827656896,376.7088165283203,2804161.5,0.013333333333333334,0.0
2017-04-12 00:00:00-04:00,377.0883122071386,379.80325503039944,374.32919805888247,376.0618600845337,2001136.8333333333,0.0,0.0
2017-04-13 00:00:00-04:00,375.43013884980996,380.98208106260785,374.90166186743846,377.64798005421954,2683503.3333333335,0.0,0.0
2017-04-17 00:00:00-04:00,377.68054727236046,383.029390943372,377.5444671590771,382.76103178660077,2458797.1666666665,0.0,0.0
2017-04-18 00:00:00-04:00,381.7038073127688,390.5194382583132,380.31608256148587,382.676344871521,2368496.8333333335,0.0,0.0
2017-04-19 00:00:00-04:00,383.3451733965135,390.2700728044733,381.69255597913804,384.6812442143758,2535697.8333333335,0.0,0.0
2017-04-20 00:00:00-04:00,380.1570323218795,388.9469727118012,362.4637918962323,368.7345272699992,4962564.833333333,0.0,0.0
2017-04-21 00:00:00-04:00,365.6816532497822,376.3100964292955,365.4142206776803,373.2434612909953,3266183.8333333335,0.0,0.0
2017-04-24 00:00:00-04:00,376.05600043605597,378.0154541037196,371.6249526558303,373.5662622451782,3702780.6666666665,0.0,0.0
2017-04-25 00:00:00-04:00,372.4376394285983,374.2106063581695,365.8799529014173,370.92544237772626,6020787.666666667,0.0,0.0
2017-04-26 00:00:00-04:00,370.11371905720466,373.8021680079874,367.6900365476845,370.53222942352295,4428951.166666667,0.0,0.0
2017-04-27 00:00:00-04:00,371.25962088294233,375.93117587199316,370.84489629884655,375.52239576975506,3075090.5,0.0,0.0
2017-04-28 00:00:00-04:00,376.1216633497705,379.16729508614804,372.858842673447,376.0727828343709,2839405.1666666665,0.006345833333333333,0.0
2017-05-01 00:00:00-04:00,378.41557837441405,382.10564788021,372.685705210075,378.1432778040568,2541015.3333333335,0.0,0.0
2017-05-02 00:00:00-04:00,381.25719706485364,381.56916702334814,375.0577784263073,376.97311210632324,2688159.1666666665,0.004166666666666667,0.0
2017-05-03 00:00:00-04:00,376.39204462983133,379.94235446976154,371.13453573176736,378.92248407999676,2785393.8333333335,0.016666666666666666,0.0
2017-05-04 00:00:00-04:00,378.9169884291571,383.5171031515245,377.942538414538,382.44448439280194,2167022.5,0.0,0.0
2017-05-05 00:00:00-04:00,383.27084807485556,385.4349938362412,382.4916811468981,384.67202695210773,2156650.0,0.0,0.0
2017-05-08 00:00:00-04:00,384.38473402501876,388.01133029211934,382.78626873178746,384.48417377471924,2101895.8333333335,0.0,0.0
2017-05-09 00:00:00-04:00,385.30977461362437,389.7439596502035,385.266562132611,387.1328872044881,2605107.0,0.0,0.0
2017-05-10 00:00:00-04:00,387.96128419372457,392.780466491843,385.5827360152007,390.44580205281574,1919497.0,0.0,0.0
2017-05-11 00:00:00-04:00,390.49335946069374,391.35687643510647,387.6323291039767,389.6419264475505,2233267.6666666665,0.0,0.0
2017-05-12 00:00:00-04:00,389.91888760185475,391.46682140005265,387.77187801504834,389.54591369628906,1337339.3333333333,0.0,0.0
2017-05-15 00:00:00-04:00,395.3515958178281,398.11483503512346,391.96733456269317,397.2830753326416,2561893.1666666665,0.0,0.0
2017-05-16 00:00:00-04:00,399.1358219860149,403.37300103821735,397.3132719764617,402.3418912887573,1664681.6666666667,0.0,0.0
2017-05-17 00:00:00-04:00,402.3418886711079,402.38119588240005,395.95520687385147,396.4325952529907,2240932.5,0.0,0.0
2017-05-18 00:00:00-04:00,396.16282095329075,402.78131050539724,394.2968782285133,401.65389919281006,1806456.6666666667,0.0,0.0
2017-05-19 00:00:00-04:00,402.91074593584534,415.9495136318912,402.83206269033525,412.7295519510905,2151366.3333333335,0.0,0.0
2017-05-22 00:00:00-04:00,412.80754196391285,419.0912457469701,410.54415034547446,418.06193351745605,2769745.1666666665,0.0,0.0
2017-05-23 00:00:00-04:00,418.3282266726921,420.4513560172043,403.3693435153166,407.51455879211426,2861018.1666666665,0.0,0.0
2017-05-24 00:00:00-04:00,406.75630705396935,411.402384378212,404.70595992884677,409.55610434214276,2139888.6666666665,0.0,0.0
2017-05-25 00:00:00-04:00,409.153670910989,412.6657421900987,405.27086449160475,407.32790724436444,1975757.5,0.0,0.0
2017-05-26 00:00:00-04:00,405.3294510881229,406.5343854423649,400.2719080667685,405.6822843551636,1399113.6666666667,0.0,0.0
